,Name,Stock Ticker,SEC filings,GICS Sector,GICS Sub Industry,Headquarters,Date first added,CIK,Founded,Latitude,Longitude
235,International Paper,IP,reports,Materials,Paper Packaging,"Memphis, Tennessee",,51434,1898,35.1495343,-90.0489801
236,Interpublic Group,IPG,reports,Communication Services,Advertising,"New York, New York",10/1/92,51644,,36.1023715,-115.1745559
237,Intl Flavors & Fragrances,IFF,reports,Materials,Specialty Chemicals,"New York, New York",3/31/76,51253,,36.1023715,-115.1745559
238,Intuit Inc.,INTU,reports,Information Technology,Internet Software & Services,"Mountain View, California",12/5/00,896878,,37.3860517,-122.0838511
239,Intuitive Surgical Inc.,ISRG,reports,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267,,37.36883,-122.0363496
240,Invesco Ltd.,IVZ,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208,,33.7489954,-84.3879824
241,IPG Photonics Corp.,IPGP,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/18,1111928,,42.1167606,-71.8647577
242,IQVIA Holdings Inc.,IQV,reports,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",8/29/17,1478242,,35.9940329,-78.898619
243,Iron Mountain Incorporated,IRM,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/09,1020569,,42.3600825,-71.0588801
244,J. B. Hunt Transport Services,JBHT,reports,Industrials,Trucking,"Lowell, Arkansas",7/1/15,728535,,36.2553543,-94.1307587
245,Jack Henry & Associates Inc,JKHY,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/18,1262439,,36.9289502,-93.9277071
246,Jacobs Engineering Group,JEC,reports,Industrials,Construction & Engineering,"Pasadena, California",10/26/07,52988,,34.1477849,-118.1445155
247,Jefferies Financial Group,JEF,reports,Financials,Multi-Sector Holdings,"New York, New York",8/27/07,96223,,36.1023715,-115.1745559
248,JM Smucker,SJM,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419,,40.8436663,-81.7640212
249,Johnson Controls International,JCI,reports,Industrials,Building Products,"Cork, Ireland",8/27/10,833444,,51.8985143,-8.4756035
250,Juniper Networks,JNPR,reports,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604,1996,37.36883,-122.0363496
251,Kansas City Southern,KSU,reports,Industrials,Railroads,"Kansas City, Missouri",5/24/13,54480,,39.0997265,-94.5785667
252,Kellogg Co.,K,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906,42.3211522,-85.1797142
253,KeyCorp,KEY,reports,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,91576,,41.49932,-81.6943605
254,Keysight Technologies,KEYS,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,1601046,2014,38.440429,-122.7140548
255,Kimberly-Clark,KMB,reports,Consumer Staples,Household Products,"Irving, Texas",,55785,1872,32.8140177,-96.9488945
256,Kimco Realty,KIM,reports,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/06,879101,,40.7351018,-73.6879082
257,Kinder Morgan,KMI,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,1506307,,29.7604267,-95.3698028
258,KLA-Tencor Corp.,KLAC,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997),37.4323341,-121.8995741
259,Kohl's Corp.,KSS,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,1962,43.1788967,-88.1173132
260,Kraft Heinz Co,KHC,reports,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",7/6/15,1637459,,40.4406248,-79.9958864
261,Kroger Co.,KR,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873,1883,39.1031182,-84.5120196
262,L Brands Inc.,LB,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/83,701985,,39.9611755,-82.9987942
263,L-3 Communications Holdings,LLL,reports,Industrials,Aerospace & Defense,"New York, New York",,1056239,1997,36.1023715,-115.1745559
264,Laboratory Corp. of America Holding,LH,reports,Health Care,Health Care Services,"Burlington, North Carolina",11/1/04,920148,,36.0956918,-79.4377991
265,Lam Research,LRCX,reports,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/12,707549,,37.5482697,-121.9885719
266,Lamb Weston Holdings Inc,LW,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/18,1679273,,43.6954424,-116.3540138
267,Leggett & Platt,LEG,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883,37.176447,-94.3102228
268,Lennar Corp.,LEN,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/05,920760,,25.7616798,-80.1917902
269,Lilly (Eli) & Co.,LLY,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478,1876,39.768403,-86.158068
270,Lincoln National,LNC,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,59558,,40.043912,-75.3754599
271,Linde plc,LIN,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",7/1/92,1707925,,51.23622,-0.570409
272,LKQ Corporation,LKQ,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1065696,,41.8781136,-87.6297982
273,Lockheed Martin Corp.,LMT,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/84,936468,,38.984652,-77.0947092
274,Loews Corp.,L,reports,Financials,Multi-line Insurance,"New York, New York",,60086,,36.1023715,-115.1745559
275,Lowe's Cos.,LOW,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667,1904/1946/1959,35.5859146,-80.8081413
276,LyondellBasell,LYB,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/12,1489393,,51.9244201,4.4777326
277,M&T Bank Corp.,MTB,reports,Financials,Regional Banks,"Buffalo, New York",,36270,1856,42.8864468,-78.8783689
278,Macerich,MAC,reports,Real Estate,Retail REITs,"Santa Monica, California",5/9/13,912242,,34.0194543,-118.4911912
279,Macy's Inc.,M,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367,1929,39.1031182,-84.5120196
280,Marathon Oil Corp.,MRO,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,101778,,29.7604267,-95.3698028
281,Marathon Petroleum,MPC,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,1510295,,41.04422,-83.6499321
282,Marriott Int'l.,MAR,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,38.984652,-77.0947092
283,Marsh & McLennan,MMC,reports,Financials,Insurance Brokers,"New York, New York",8/31/87,62709,,36.1023715,-115.1745559
284,Martin Marietta Materials,MLM,reports,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,916076,,35.7795897,-78.6381787
285,Masco Corp.,MAS,reports,Industrials,Building Products,"Taylor, Michigan",6/30/81,62996,,42.240872,-83.2696509
286,Mastercard Inc.,MA,reports,Information Technology,IT Services,"Harrison, New York",7/18/08,1141391,,40.9700171,-73.7176337
287,Mattel Inc.,MAT,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/82,63276,,33.9191799,-118.4164652
288,Maxim Integrated Products Inc,MXIM,reports,Information Technology,Semiconductors,"San Jose, California",12/3/18,743316,1983,37.3382082,-121.8863286
289,McCormick & Co.,MKC,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754,1889,39.5309389,-76.6458043
290,McKesson Corp.,MCK,reports,Health Care,Health Care Distributors,"San Francisco, California",,927653,1833,37.7749295,-122.4194155
291,Medtronic plc,MDT,reports,Health Care,Health Care Equipment,"Dublin,†Ireland",10/31/86,64670,,53.3498053,-6.2603097
292,MetLife Inc.,MET,reports,Financials,Life & Health Insurance,"New York, New York",,1099219,1868,36.1023715,-115.1745559
293,Mettler Toledo,MTD,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1037646,,39.9611755,-82.9987942
294,MGM Resorts International,MGM,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/17,789570,,36.0971945,-115.1466648
295,Microchip Technology,MCHP,reports,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,827054,,33.3061605,-111.8412502
296,Micron Technology,MU,reports,Information Technology,Semiconductors,"Boise, Idaho",9/27/94,723125,,43.6150186,-116.2023137
297,Mid-America Apartments,MAA,reports,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/16,912595,,35.1495343,-90.0489801
298,Mohawk Industries,MHK,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",12/23/13,851968,,42.9377453,-74.190356
299,Molson Coors Brewing Company,TAP,reports,Consumer Staples,Brewers,"Denver, Colorado",6/30/76,24545,,39.7392358,-104.990251
300,Mondelez International,MDLZ,reports,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",10/2/12,1103982,,42.1711365,-87.8445119
301,Monster Beverage,MNST,reports,Consumer Staples,Soft Drinks,"Corona, California",6/28/12,865752,,33.8752935,-117.5664384
302,Moody's Corp,MCO,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909,36.1023715,-115.1745559
303,Morgan Stanley,MS,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935,36.1023715,-115.1745559
304,Motorola Solutions Inc.,MSI,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505,1928 (2011),42.0333607,-88.0834059
305,MSCI Inc,MSCI,reports,Financials,Financial Exchanges & Data,"New York, New York",4/4/18,1408198,,36.1023715,-115.1745559
306,Mylan N.V.,MYL,reports,Health Care,Pharmaceuticals,"Amsterdam,†Netherlands",4/23/04,69499,,52.3679843,4.9035614
307,"Nasdaq, Inc.",NDAQ,reports,Financials,Financial Exchanges & Data,"New York, New York",10/22/08,1120193,,36.1023715,-115.1745559
